antibody_id,ensg_id,level_c,prest_id
60570,ENSG00000119684,nucleus,3730292
60574,ENSG00000160888,nucleus,3760645
60593,ENSG00000172000,nucleus,3420254
60601,ENSG00000125910,cytoplasm,3910011
60640,ENSG00000197579,nucleus,2320301
60646,ENSG00000133101,nucleus,1390039
60647,ENSG00000168214,nucleus,2530008
60655,ENSG00000111602,nucleus,2640073
60714,ENSG00000076242,nucleus,590010
60778,ENSG00000144857,nucleus,3760315
60789,ENSG00000250067,cytoplasm,3830584
60800,ENSG00000172201,nucleus,3420247
60803,ENSG00000170890,cytoplasm,3420225
60841,ENSG00000198517,nucleus,3670099
60843,ENSG00000153561,nucleus,3400215
60922,ENSG00000068878,nucleus,3860293
60928,ENSG00000101098,nucleus,4060035
60948,ENSG00000165434,cytoplasm,3760907
60994,ENSG00000132740,nucleus,4030109
60997,ENSG00000172992,nucleus,4030441
61005,ENSG00000161179,nucleus,4030287
61018,ENSG00000023902,cytoplasm,4030055
61023,ENSG00000186073,nucleus,4050150
61027,ENSG00000198730,nucleus,3790637
61028,ENSG00000185453,nucleus,3830519
61029,ENSG00000118900,nucleus,4030113
61035,ENSG00000151090,nucleus,4120029
61086,ENSG00000143409,nucleus,2551037
61111,ENSG00000064607,nucleus,3210050
61123,ENSG00000119596,nucleus,3140477
61136,ENSG00000063245,cytoplasm,3210002
61214,ENSG00000119953,nucleus,3730264
61333,ENSG00000119669,nucleus,3890256
61345,ENSG00000155115,nucleus,3950198
61348,ENSG00000108604,nucleus,4110182
61355,ENSG00000172216,nucleus,3450133
61357,ENSG00000138101,cytoplasm,3500155
61391,ENSG00000166452,nucleus,3050636
61396,ENSG00000124608,cytoplasm,2590133
61397,ENSG00000047634,nucleus,2810030
61448,ENSG00000134057,cytoplasm,4110394
61460,ENSG00000006377,nucleus,4160065
61478,ENSG00000204304,nucleus,3430102
61500,ENSG00000110002,nucleus,3050114
61506,ENSG00000019144,nucleus,3050001
61514,ENSG00000137760,nucleus,3050386
