level_b,ensg_id,gene_name,uniprot_id
nucleoplasm,ENSG00000157168,NRG1,Q02297
nucleoplasm,ENSG00000166682,TMPRSS5,Q9H3S3
cytosol,ENSG00000184602,SNN,O75324
cytosol,ENSG00000175928,LRRN1,Q6UXK5
cytosol,ENSG00000175793,SFN,P31947
cytosol,ENSG00000153086,ACMSD,Q8TDX5
cytosol,ENSG00000166913,YWHAB,P31946
cytosol,ENSG00000116031,CD207,Q9UJ71
cytosol,ENSG00000105928,DFNA5,O60443
nucleoplasm,ENSG00000074416,MGLL,Q99685
nucleoplasm,ENSG00000115289,PCGF1,Q9BSM1
nucleoplasm,ENSG00000096401,CDC5L,Q99459
cytosol,ENSG00000176601,MAP3K19,Q56UN5
cytosol,ENSG00000146555,SDK1,Q7Z5N4
cytosol,ENSG00000157881,PANK4,Q9NVE7
nucleoplasm,ENSG00000196591,HDAC2,Q92769
cytosol,ENSG00000102699,PARP4,Q9UKK3
cytosol,ENSG00000103148,NPRL3,Q12980
nucleoplasm,ENSG00000166833,NAV2,Q8IVL1
nucleoplasm,ENSG00000108797,CNTNAP1,P78357
cytosol,ENSG00000128829,EIF2AK4,Q9P2K8
cytosol,ENSG00000144567,FAM134A,Q8NC44
cytosol,ENSG00000144749,LRIG1,Q96JA1
cytosol,ENSG00000170248,PDCD6IP,Q8WUM4
cytosol,ENSG00000118804,STBD1,O95210
nucleoplasm,ENSG00000103326,CAPN15,O75808
nucleoplasm,ENSG00000111642,CHD4,Q14839
nucleoplasm,ENSG00000153879,CEBPG,P53567
nucleoplasm,ENSG00000106034,CPED1,A4D0V7
cytosol,ENSG00000088543,C3orf18,Q9UK00
cytosol,ENSG00000186001,LRCH3,Q96II8
cytosol,ENSG00000105366,SIGLEC8,Q9NYZ4
cytosol,ENSG00000003137,CYP26B1,Q9NR63
cytosol,ENSG00000085978,ATG16L1,Q676U5
cytosol,ENSG00000136114,THSD1,Q9NS62
nucleoplasm,ENSG00000164161,HHIP,Q96QV1
cytosol,ENSG00000140983,RHOT2,Q8IXI1
cytosol,ENSG00000106268,NUDT1,P36639
nucleoplasm,ENSG00000162191,UBXN1,Q04323
nucleoplasm,ENSG00000099625,CBARP,Q8N350
nucleoplasm,ENSG00000166432,ZMAT1,Q5H9K5
